Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
7rga_F_idx250,Extracellular,Signal peptide,Soluble,0.4341000020503998,0.1881999969482422,0.7638000249862671,0.2667999863624573,0.21490000188350677,0.03310000151395798,0.33079999685287476,0.0860000029206276,0.287200003862381,0.019999999552965164,0.32600000500679016,0.11739999800920486,0.2092999964952469,0.8210999965667725
7rga_E_idx251,Extracellular,Signal peptide,Soluble,0.43880000710487366,0.2085999995470047,0.8009999990463257,0.2531999945640564,0.22460000216960907,0.02590000070631504,0.3353999853134155,0.07930000126361847,0.2320999950170517,0.01119999960064888,0.3098999857902527,0.11469999700784683,0.20819999277591705,0.8270999789237976
4s10_B_idx252,Extracellular,Signal peptide,Soluble,0.3449999988079071,0.17139999568462372,0.7477999925613403,0.23759999871253967,0.3124000132083893,0.016899999231100082,0.19040000438690186,0.05420000106096268,0.2563000023365021,0.022700000554323196,0.274399995803833,0.13920000195503235,0.20029999315738678,0.7555000185966492
4s10_A_idx253,Extracellular,Signal peptide,Soluble,0.36800000071525574,0.15860000252723694,0.7407000064849854,0.20749999582767487,0.337799996137619,0.012400000356137753,0.2176000028848648,0.05790000036358833,0.26080000400543213,0.026799999177455902,0.2754000127315521,0.13120000064373016,0.21819999814033508,0.7522000074386597
7p77_H_idx254,Extracellular,Signal peptide,Soluble,0.43540000915527344,0.17159999907016754,0.7972000241279602,0.13449999690055847,0.32100000977516174,0.03709999844431877,0.31029999256134033,0.029100000858306885,0.2874000072479248,0.019600000232458115,0.21050000190734863,0.17880000174045563,0.1738000065088272,0.7430999875068665
7p77_X_idx255,Extracellular,Signal peptide,Soluble,0.2962999939918518,0.22120000422000885,0.7426000237464905,0.3149999976158142,0.26510000228881836,0.016300000250339508,0.23180000483989716,0.07569999992847443,0.3871000111103058,0.026100000366568565,0.30660000443458557,0.11959999799728394,0.2295999974012375,0.7299000024795532
5m2m_J_idx256,Extracellular,Signal peptide,Soluble,0.3531999886035919,0.1590999960899353,0.6891000270843506,0.2257000058889389,0.33000001311302185,0.017000000923871994,0.3328000009059906,0.05260000005364418,0.24310000240802765,0.03060000017285347,0.3203999996185303,0.10000000149011612,0.21799999475479126,0.7634999752044678
2x89_A_idx257,Extracellular,Signal peptide,Soluble,0.4153999984264374,0.1492999941110611,0.7646999955177307,0.22110000252723694,0.3522000014781952,0.032600000500679016,0.22200000286102295,0.08609999716281891,0.32499998807907104,0.052799999713897705,0.3057999908924103,0.15039999783039093,0.2232999950647354,0.6933000087738037
4nc1_D_idx258,Extracellular,Signal peptide,Soluble,0.30809998512268066,0.1745000034570694,0.8335000276565552,0.23430000245571136,0.3084999918937683,0.019099999219179153,0.3100000023841858,0.0494999997317791,0.2621000111103058,0.019700000062584877,0.3043999969959259,0.1234000027179718,0.19249999523162842,0.7494000196456909
4nc0_B_idx259,Extracellular,Signal peptide,Soluble,0.35519999265670776,0.19179999828338623,0.6923999786376953,0.29010000824928284,0.2669999897480011,0.008700000122189522,0.3833000063896179,0.0786999985575676,0.20000000298023224,0.03420000150799751,0.28029999136924744,0.09059999883174896,0.24690000712871552,0.7893000245094299
4nbx_B_idx260,Extracellular,Signal peptide,Soluble,0.34459999203681946,0.16830000281333923,0.7982000112533569,0.2012999951839447,0.3303000032901764,0.01360000018030405,0.3578000068664551,0.052400000393390656,0.26930001378059387,0.028699999675154686,0.2856999933719635,0.10620000213384628,0.21850000321865082,0.7583000063896179
4nbz_D_idx261,Extracellular,Signal peptide,Soluble,0.3248000144958496,0.1753000020980835,0.705299973487854,0.27489998936653137,0.29679998755455017,0.0203000009059906,0.27709999680519104,0.06589999794960022,0.21870000660419464,0.05649999901652336,0.2653000056743622,0.09960000216960907,0.21770000457763672,0.78329998254776
6hjx_F_idx262,Extracellular,Signal peptide,Soluble,0.3305000066757202,0.14640000462532043,0.7534000277519226,0.22100000083446503,0.3052999973297119,0.021900000050663948,0.2971000075340271,0.04580000042915344,0.26660001277923584,0.06679999828338623,0.30219998955726624,0.12790000438690186,0.20900000631809235,0.7455999851226807
6hjy_I_idx263,Extracellular,Signal peptide,Soluble,0.3273000121116638,0.16680000722408295,0.7210000157356262,0.2583000063896179,0.3361000120639801,0.02410000003874302,0.28110000491142273,0.03790000081062317,0.21469999849796295,0.07410000264644623,0.30300000309944153,0.12710000574588776,0.21770000457763672,0.7441999912261963
6ui1_C_idx264,Extracellular,Signal peptide,Soluble,0.2831000089645386,0.181099995970726,0.7695000171661377,0.25769999623298645,0.31459999084472656,0.026499999687075615,0.28360000252723694,0.06109999865293503,0.3343999981880188,0.03840000182390213,0.3102000057697296,0.1500999927520752,0.3257000148296356,0.7021999955177307
7m1h_F_idx265,Extracellular,Signal peptide,Soluble,0.36970001459121704,0.16609999537467957,0.6392999887466431,0.23729999363422394,0.28200000524520874,0.015200000256299973,0.32850000262260437,0.05700000002980232,0.26980000734329224,0.041999999433755875,0.3359000086784363,0.14380000531673431,0.22579999268054962,0.7174999713897705
7m1h_G_idx266,Extracellular,Signal peptide,Soluble,0.39410001039505005,0.18449999392032623,0.6585000157356262,0.14270000159740448,0.2371000051498413,0.006099999882280827,0.29670000076293945,0.043299999088048935,0.17489999532699585,0.0017999999690800905,0.3215000033378601,0.15469999611377716,0.4124999940395355,0.6628000140190125
7m1h_C_idx267,Extracellular,Signal peptide,Soluble,0.3098999857902527,0.21459999680519104,0.689300000667572,0.22390000522136688,0.33230000734329224,0.01899999938905239,0.26089999079704285,0.057500001043081284,0.1964000016450882,0.07100000232458115,0.3601999878883362,0.2037999927997589,0.17810000479221344,0.704800009727478
7m1h_B_idx268,Extracellular,Signal peptide,Soluble,0.3303999900817871,0.2199999988079071,0.7332000136375427,0.2757999897003174,0.3012000024318695,0.027000000700354576,0.27720001339912415,0.04800000041723251,0.3102000057697296,0.04320000112056732,0.2581999897956848,0.149399995803833,0.19359999895095825,0.7121999859809875
7m1h_E_idx269,Extracellular,Signal peptide,Soluble,0.3353999853134155,0.08380000293254852,0.8440999984741211,0.1623000055551529,0.2955000102519989,0.013799999840557575,0.3828999996185303,0.059300001710653305,0.30059999227523804,0.026599999517202377,0.2766999900341034,0.11320000141859055,0.22519999742507935,0.7847999930381775
4kro_B_idx270,Extracellular,Signal peptide,Soluble,0.3580999970436096,0.13670000433921814,0.8755999803543091,0.44530001282691956,0.3100000023841858,0.025200000032782555,0.1469999998807907,0.07859999686479568,0.2549000084400177,0.02979999966919422,0.3109999895095825,0.14020000398159027,0.17110000550746918,0.7225000262260437
4orz_C_idx271,Extracellular,Signal peptide,Soluble,0.4068000018596649,0.1688999980688095,0.6822999715805054,0.20389999449253082,0.2930000126361847,0.010499999858438969,0.3991999924182892,0.04960000142455101,0.24819999933242798,0.056699998676776886,0.29589998722076416,0.1071000024676323,0.23350000381469727,0.7483000159263611
6oc8_C_idx272,Extracellular,Signal peptide,Soluble,0.3255999982357025,0.06700000166893005,0.8352000117301941,0.20649999380111694,0.3285999894142151,0.017899999395012856,0.4090000092983246,0.04659999907016754,0.2992999851703644,0.05040000006556511,0.3172000050544739,0.12399999797344208,0.21330000460147858,0.770799994468689
6oc8_B_idx273,Extracellular,Signal peptide,Soluble,0.2890999913215637,0.04399999976158142,0.824400007724762,0.23569999635219574,0.30489999055862427,0.008899999782443047,0.34869998693466187,0.061799999326467514,0.3190000057220459,0.014999999664723873,0.32820001244544983,0.12530000507831573,0.2167000025510788,0.7674999833106995
