Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
6ibb_B_idx500,Extracellular,Signal peptide,Soluble,0.4336000084877014,0.17180000245571136,0.6879000067710876,0.15940000116825104,0.3840000033378601,0.011599999852478504,0.1923999935388565,0.10999999940395355,0.2720000147819519,0.24379999935626984,0.2892000079154968,0.17880000174045563,0.36980000138282776,0.6654000282287598
6ibb_D_idx501,Extracellular,Signal peptide,Soluble,0.33169999718666077,0.1331000030040741,0.7696999907493591,0.24279999732971191,0.24899999797344208,0.023600000888109207,0.4036000072956085,0.07890000194311142,0.37720000743865967,0.02759999968111515,0.2883000075817108,0.17630000412464142,0.25600001215934753,0.696399986743927
7olz_B_idx502,Extracellular,Signal peptide,Soluble,0.29600000381469727,0.18050000071525574,0.7942000031471252,0.23669999837875366,0.28189998865127563,0.028599999845027924,0.2540000081062317,0.061900001019239426,0.3255999982357025,0.04470000043511391,0.29840001463890076,0.13230000436306,0.19979999959468842,0.7243000268936157
7olz_C_idx503,Extracellular,,Soluble,0.38019999861717224,0.11110000312328339,0.7257999777793884,0.20430000126361847,0.2556999921798706,0.009999999776482582,0.4154999852180481,0.05730000138282776,0.29679998755455017,0.01940000057220459,0.2890999913215637,0.06859999895095825,0.2847000062465668,0.7925999760627747
4u05_A_idx504,Extracellular,Signal peptide,Soluble,0.34040001034736633,0.08940000087022781,0.8151999711990356,0.21490000188350677,0.35109999775886536,0.03310000151395798,0.28999999165534973,0.06610000133514404,0.3630000054836273,0.08110000193119049,0.322299987077713,0.1712000072002411,0.25519999861717224,0.7023000121116638
3k1k_C_idx505,Extracellular,Signal peptide,Soluble,0.41600000858306885,0.16429999470710754,0.7976999878883362,0.16410000622272491,0.3221000134944916,0.020800000056624413,0.3305000066757202,0.04129999876022339,0.2782999873161316,0.02199999988079071,0.2815999984741211,0.15109999477863312,0.19130000472068787,0.7226999998092651
7z1c_D_idx506,Extracellular,Signal peptide,Soluble,0.3400999903678894,0.19009999930858612,0.7656999826431274,0.1932000070810318,0.31130000948905945,0.016300000250339508,0.3573000133037567,0.061900001019239426,0.2994999885559082,0.055399999022483826,0.2971999943256378,0.09860000014305115,0.2572999894618988,0.7368999719619751
7z1c_E_idx507,Extracellular,Signal peptide,Soluble,0.2888999879360199,0.14810000360012054,0.765500009059906,0.25679999589920044,0.27379998564720154,0.04089999943971634,0.19990000128746033,0.0681999996304512,0.3560999929904938,0.08529999852180481,0.3052999973297119,0.11060000211000443,0.18080000579357147,0.7639999985694885
7php_N_idx508,Extracellular,Signal peptide,Soluble,0.3215999901294708,0.13750000298023224,0.7350000143051147,0.21639999747276306,0.3248000144958496,0.03350000083446503,0.32850000262260437,0.03909999877214432,0.2858999967575073,0.0471000000834465,0.24660000205039978,0.1436000019311905,0.2578999996185303,0.7301999926567078
6nfj_B_idx509,Extracellular,Signal peptide,Soluble,0.2766999900341034,0.18790000677108765,0.7968999743461609,0.1899999976158142,0.28139999508857727,0.01730000041425228,0.20839999616146088,0.05920000001788139,0.2994000017642975,0.025100000202655792,0.288100004196167,0.24089999496936798,0.18799999356269836,0.6924999952316284
6nfj_E_idx510,Extracellular,Signal peptide,Soluble,0.29249998927116394,0.18569999933242798,0.794700026512146,0.21089999377727509,0.24619999527931213,0.02710000053048134,0.1738000065088272,0.05130000039935112,0.25780001282691956,0.04259999841451645,0.2718999981880188,0.26260000467300415,0.1890999972820282,0.6822999715805054
1f2x_L_idx511,Extracellular,Signal peptide,Soluble,0.39169999957084656,0.13169999420642853,0.6477000117301941,0.26350000500679016,0.31139999628067017,0.010300000198185444,0.29649999737739563,0.06239999830722809,0.36910000443458557,0.04830000177025795,0.24279999732971191,0.11169999837875366,0.27309998869895935,0.7781000137329102
6qpg_M_idx512,Extracellular,Signal peptide,Soluble,0.31619998812675476,0.20000000298023224,0.6377000212669373,0.13449999690055847,0.2653000056743622,0.019999999552965164,0.257099986076355,0.03359999880194664,0.16220000386238098,0.033799998462200165,0.25189998745918274,0.1500999927520752,0.37549999356269836,0.7182000279426575
6jri_E_idx513,Extracellular,,Soluble,0.3353999853134155,0.19850000739097595,0.6241999864578247,0.2612999975681305,0.3725999891757965,0.01489999983459711,0.267300009727478,0.04470000043511391,0.30079999566078186,0.044199999421834946,0.27559998631477356,0.1264999955892563,0.24529999494552612,0.7271000146865845
6jri_H_idx514,Extracellular,,Soluble,0.3409999907016754,0.1842000037431717,0.6499999761581421,0.24320000410079956,0.3684000074863434,0.014299999922513962,0.29330000281333923,0.04960000142455101,0.2777000069618225,0.039500001817941666,0.28870001435279846,0.12700000405311584,0.24969999492168427,0.7175999879837036
6jri_C_idx515,Extracellular,,Soluble,0.3546999990940094,0.18000000715255737,0.6187999844551086,0.26269999146461487,0.3725000023841858,0.020800000056624413,0.2476000040769577,0.042500000447034836,0.28040000796318054,0.0478999987244606,0.2831000089645386,0.11100000143051147,0.2273000031709671,0.743399977684021
6jri_F_idx516,Extracellular,Signal peptide,Soluble,0.3626999855041504,0.17059999704360962,0.6887999773025513,0.18960000574588776,0.38960000872612,0.014700000174343586,0.32600000500679016,0.042100001126527786,0.2646999955177307,0.04390000179409981,0.28839999437332153,0.12610000371932983,0.20059999823570251,0.741599977016449
6jri_A_idx517,Extracellular,,Soluble,0.358599990606308,0.18330000340938568,0.6281999945640564,0.2460000067949295,0.37709999084472656,0.021299999207258224,0.24950000643730164,0.04360000044107437,0.26429998874664307,0.04740000143647194,0.2897999882698059,0.11230000108480453,0.24079999327659607,0.736299991607666
6jri_D_idx518,Extracellular,,Soluble,0.3553999960422516,0.18479999899864197,0.6115999817848206,0.2563000023365021,0.3677999973297119,0.020899999886751175,0.2517000138759613,0.042399998754262924,0.2703000009059906,0.05009999871253967,0.2874000072479248,0.11289999634027481,0.23999999463558197,0.7398999929428101
